"チャットボット名","会社名","概要","POINT1","POINT2","POINT3","対象業界","目的","規模","利用料金","初期費用","無料プラン","無料トライアル"
"WisTalk（ウィズトーク）","パナソニック ソリューションテクノロジー株式会社","問い合わせ対応業務の負荷を約50％軽減！
「Microsoft Teams」や「LINE」でも利用可能！
平均正答率75％、導入は最短3週間、継続利用率95％パナソニック独自開発のAIエンジンを搭載した「WisTalk」が機能強化して登場！
「未知語」検出強化など、AIの進化により回答精度のさらなる向上を実現
管理者が行うQ&Aデータのメンテナンス作業を大幅に削減可能",", トピック推定技術を競う国際コンテストで世界1位を獲得した、回答精度の高さを誇るパナソニック独自の開発エンジンを採用！","WisTalkなら導入を手厚く支援。さまざまな企業の業務改革を成功に導いた専任SEによるサポートで安心して運用を開始！","パナソニックグループの大規模運用で培った信頼性・活用実績のあるQ&Aテンプレートをご提供！Q&Aデータ作成の手間が大きく削減！","全て","問い合わせ対応, 業務改善（効率化）, コスト削減","大企業向け, 中小企業向け","月額10万円～","0円","なし","あり"
"HUE Works Suite DX Solutions Chatbot","株式会社ワークスアプリケーションズ","AI研究の専門機関”徳島人工知能NLP研究所”が開発！
日本最大規模の辞書を搭載したAIチャットボット社内外の問い合わせ業務を効率化するAI対話ツールです。
NLP（自然言語処理）技術を応用することでまるで人と話すような対話を実現。
充実した管理者サポート機能に加え、業界用語などユーザー固有の言葉も辞書に登録できるので長期的に活用いただけます。",", 日本最大規模の辞書＆NLP（自然言語処理）技術の応用で幅広い表現に対応","ユーザーは選択肢を選ぶだけ！AIが簡単・的確な対話をアシスト","利用状況がひと目で分かる！充実の管理者サポート機能で稼働後のPDCAも万全","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, 離脱防止, CVR改善, レコメンド, 問い合わせ対応, 受付, 業務改善（効率化）, コスト削減, お客様の声（VOC）分析, 作業品質改善, 接客, マーケティング, 営業支援, サイト運営, 売上アップ, 満足度向上, ユーザーエクスペリエンス向上, 販売促進, 顧客分析, 付加価値, コミュニケーション, コールセンター, 育成支援","大企業向け, 中小企業向け","月額10万円～","30万円～","なし","あり"
"amie Helpbot","ペネトレイト・オブ・リミット株式会社","シナリオ作成は一切不要！
既にあるドキュメントやＦＡＱを自動で学習！
最短1日で導入可能なお手軽チャットボット。既存のマニュアルを自動で学習しわずか2ステップでチャットボットが作成できます。
チャットボット導入にかかる時間や更新作業の工数を80％以上をカットし、
チャットボットの導入を圧倒的なスピードで実現。学習機能を充実させながら管理者をしっかりサポートします。",", シナリオ作成不要、既存のドキュメントからチャットが作成","自動更新機能でFAQ更新はスケジュールで自動学習","テキストマイニングを活用することで高度な検索を実現","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","SNSツール（LINE等）を用いた顧客問合せ対応, 従業員からの問合せ業務効率化, 顧客からの問合せ業務効率化, チャットボット導入工数の削減","大企業向け, 中小企業向け","お問い合わせください","お問い合わせください","なし","あり"
"AURA-アウラ","Micoworks株式会社","【継続利用率：98.8%】
LINEで本格的なマーケティングを行うなら、
LINEツールAURA-アウラAURAはLINEを使って、煩雑になりがちな顧客管理やマーケティングを効率化し、数字の最適化を実現するサービスです。",", セグメント配信で反応率4倍
顧客の属性や、LINE内での行動ログを元にした配信の出しわけ（セグメント配信）により、LINEを最大限に活用できます","botで情報回答や質問対応が可能
botをあらかじめ設定しておくことで、運用の工数をかけることなく自動で情報収集や質問の対応が可能になります","予約や決済もLINEで全て完結
LINE内で予約から決済まで全て簡潔します。ユーザーにとって使いやすいLINEで完結するので離脱が少なくなります","人材, 不動産, IT, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","LINEを用いたマーケティング, LINEを用いた顧客フォロー, LINEを用いた顧客管理","大企業向け, 中小企業向け","20,000円/月〜","お問い合わせください","お問い合わせください","お問い合わせください"
"Vareal NLP（自然言語処理）システム構築/導入サービス","Vareal株式会社","Vareal NLP（自然言語処理）システム構築/導入サービスお客様のニーズに応じたNLP（自然言語処理）を用いたシステムのコンサルティング、
AIモデル構築、導入支援をいたします。
（例）
- FAQシステムAPIの構築/導入
- 文章レコメンドAPIの構築/導入
- チャットボットの構築/導入",", お客様のご要望を丁寧にヒアリングし、既存の製品の組み合わせや新たなAIモデルの作成など、柔軟にご提案いたします。","NLPを使うことによりテキストに対して高精度な検索、レコメンデーションを実現します。","AIモデルの作成から実証、UIの作成、システムインテグレーションまでワンストップで対応します。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","レコメンド, 業務改善（効率化）","大企業向け, 中小企業向け, 個人事業主向け","お問い合わせください","お問い合わせください","お問い合わせください","お問い合わせください"
"AIチャット SCHATTI","株式会社ZeQ","対応効率35％UP↑ 返答時間20％DOWN↓
学習機能を備えたAI回答補助&チャットボットが
スマートで心地よい顧客体験を創出しますSCHATTI(スチャッティ)は、日々の顧客対応で学習したデータよりAIが最適な回答を提示するチャットシステムです。
使えば使うほど回答精度が上がり、学習データはナレッジとして蓄積されます。
「現場の負担軽減」と「顧客満足度の向上」を実現します。",", 過去の問い合わせ内容を学習。
AIが回答候補を評価が高い順に提示するので、迅速に回答が出来ます。","チャットボットとして利用可能。
現場で質問・回答を学習または手動でデータセットすることで自動化することが可能です。","導入時・運用時の大幅なコスト削減。
人的コストは97%、データ反映コストは500〜1,000万円の大幅削減が見込めます。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, データ分析, 業務改善（効率化）, コスト削減, 接客, サイト運営, オンライン接客, 顧客満足度向上, 生産性向上","大企業向け, 中小企業向け","お問い合せください","お問い合せください","なし","あり"
"Benefitter","伊藤忠テクノソリューションズ株式会社","CTCの最適解！働き方を進化させる
DXチャットボットプラットフォームBenefitterは、高度なAIボットを短期間で作成できるチャットボット開発プラットフォームです。
社内問い合わせやコールセンターの自動化、社内業務の自動化、マーケティング支援などあらゆるシーンで利用いただけます。",", 最適なものが選べる・つながる！
ボットの目的に応じて、Webブラウザ、Teams、Slack、Tocaro、+メッセージ、LINEを選択することができ、また複数のAIやRPA、業務システム、WEBサービスなどと接続することが可能です。","スモールスタートから拡大できる！
業務を追加するときに、もう別々の製品を検討する必要はありません。""Benefitter""ひとつで、さまざまなAIチャットボットを作り、稼働させることができます。","CTCのトータルサポート！
“Benefitter”は、CTCが独自に開発したAIチャットボット開発プラットフォームです。自社製品ならではのスピーディな対応とサポートをお客様にご提供します。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, 問い合わせ対応, 業務改善（効率化）, 接客, マーケティング, 営業支援, サイト運営, ユーザーエクスペリエンス向上, コールセンター","大企業向け","個別見積となりますので、
お問い合わせください。","個別見積となりますので、
お問い合わせください。","なし","あり"
"デジタルヒューマン","デジタルヒューマン株式会社","人間らしさとAIのメリットを融合。
新しい顧客体験を提供する
「対話+感情表現 AIインターフェース」デジタルヒューマン（Digital Humans）はチャットボットやNLPと連携し、
対話と感情表現で新しい顧客体験を提供するサービスです。
デジタル従業員として、直感的で、インパクトがあり、競争力があるサービス創造と顧客体験が提供できます。",", AIデジタルヒューマン（デジタル従業員）が24時間365日お客様の問い合わせに自動対応。営業時間内外問わず、スタッフに代わりお客様のお問い合わせに対応します。スタッフの手を借りることなく取引完了ができる様になり、人間スタッフは、より優先度の高いタスクに集中する事ができます。オンラインサービス、店舗等の対人サービス、eラーニング等でも利用可能です。","チャットボットやNLP（自然言語処理）と連携が可能。既に運用されているサービスにアドオンするだけで、テキストベースのサービスが、即座にデジタルヒューマンUIを備えたサービスにアップグレードできます。もちろん、蓄積されたビッグデーターやFAQやナレッジ等の既存資産はそのまま利用できます。チャットボット利用企業様、開発ベンダー様のどちらからご依頼頂いても連携対応します。","外見と声をコピーしたクローンキャラクターで、著名人やインフルエンサーをデジタル従業員として採用する事も可能です。オリジナルキャラクターも利用する事ができ、企業やサービスのブランドアンバサダーとして他にはない価値を提供することが可能です。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, 離脱防止, CVR改善, レコメンド, 問い合わせ対応, パーソナライズ, 受付, 販売, 業務改善（効率化）, プロモーション, ブランディング, コスト削減, 接客, マーケティング, 営業支援, 売上アップ, 満足度向上, ユーザーエクスペリエンス向上, 販売促進, 付加価値, コミュニケーション, コールセンター, 離職低減, 育成支援, 顔認証, 感情認識・感情解析","大企業向け, 中小企業向け","135,000円/月〜","0円","なし","あり"
"hachidori","hachidori株式会社","hachidorihachidoriは、圧倒的な開発実績とNoCodeで開発可能なユーザビリティを備えた国産初のチャットボットツールです。
LINE／LINE WORKSのパートナーであり、幅広い用途のチャットボットを開発することができます。",", 7,000件を超える開発実績に基づいたシナリオ構築ノウハウ","経験豊富な専任チーム（カスタマーサクセス）の伴走サポート","高性能なAI会話エンジンで回答精度の継続的な向上","人材, 不動産, IT, 教育, 小売, 保険, Webサービス, 通信, メディア, 官公庁","業務改善（効率化）, WEB、LINEマーケティング","大企業向け, 中小企業向け","月額50,000円～","100,000円～","なし","なし"
"kantan chat","マスターピース・グループ株式会社","最短3ヶ月からの英語チャットサポートサービス
「kantan chat 」「kantan chat」は最短3ヶ月からの契約期間で利用できる英語チャットサービスです。
当社の英語ネイティブのオペレーターがAI搭載型チャットシステムを使用しチャット対応します。
AIの自動学習により4か月目以降は完全自動対応も可能です。",", 導入コスト10万円、簡単なQAの準備だけですぐ開始できて最短3ヶ月の利用だけでもOK。業務ボリュームに合わせて利用できる。","当社直営のフィリピンセンターで英語ネイティブスタッフが格安で対応。","AI搭載チャットが自己学習し4か月目以降は完全自動対応も可能、さらに運用コストを抑えられる。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","接客","大企業向け, 中小企業向け","98,000円","100,000円","なし","なし"
