,detail_link,point1,point2,point3,target_ind,goal,scale
0,https://ai-products.net/product/wistalk/,", トピック推定技術を競う国際コンテストで世界1位を獲得した、回答精度の高さを誇るパナソニック独自の開発エンジンを採用！",WisTalkなら導入を手厚く支援。さまざまな企業の業務改革を成功に導いた専任SEによるサポートで安心して運用を開始！,パナソニックグループの大規模運用で培った信頼性・活用実績のあるQ&Aテンプレートをご提供！Q&Aデータ作成の手間が大きく削減！,全て,"問い合わせ対応, 業務改善（効率化）, コスト削減","大企業向け, 中小企業向け"
1,https://ai-products.net/product/hue/,", 日本最大規模の辞書＆NLP（自然言語処理）技術の応用で幅広い表現に対応",ユーザーは選択肢を選ぶだけ！AIが簡単・的確な対話をアシスト,利用状況がひと目で分かる！充実の管理者サポート機能で稼働後のPDCAも万全,"人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, 離脱防止, CVR改善, レコメンド, 問い合わせ対応, 受付, 業務改善（効率化）, コスト削減, お客様の声（VOC）分析, 作業品質改善, 接客, マーケティング, 営業支援, サイト運営, 売上アップ, 満足度向上, ユーザーエクスペリエンス向上, 販売促進, 顧客分析, 付加価値, コミュニケーション, コールセンター, 育成支援","大企業向け, 中小企業向け"
2,https://ai-products.net/product/amie-helpbot/,", シナリオ作成不要、既存のドキュメントからチャットが作成",自動更新機能でFAQ更新はスケジュールで自動学習,テキストマイニングを活用することで高度な検索を実現,"人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","SNSツール（LINE等）を用いた顧客問合せ対応, 従業員からの問合せ業務効率化, 顧客からの問合せ業務効率化, チャットボット導入工数の削減","大企業向け, 中小企業向け"
3,https://ai-products.net/product/aura/,", セグメント配信で反応率4倍
顧客の属性や、LINE内での行動ログを元にした配信の出しわけ（セグメント配信）により、LINEを最大限に活用できます","botで情報回答や質問対応が可能
botをあらかじめ設定しておくことで、運用の工数をかけることなく自動で情報収集や質問の対応が可能になります","予約や決済もLINEで全て完結
LINE内で予約から決済まで全て簡潔します。ユーザーにとって使いやすいLINEで完結するので離脱が少なくなります","人材, 不動産, IT, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","LINEを用いたマーケティング, LINEを用いた顧客フォロー, LINEを用いた顧客管理","大企業向け, 中小企業向け"
4,https://ai-products.net/product/vareal-nlp/,", お客様のご要望を丁寧にヒアリングし、既存の製品の組み合わせや新たなAIモデルの作成など、柔軟にご提案いたします。",NLPを使うことによりテキストに対して高精度な検索、レコメンデーションを実現します。,AIモデルの作成から実証、UIの作成、システムインテグレーションまでワンストップで対応します。,"人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","レコメンド, 業務改善（効率化）","大企業向け, 中小企業向け, 個人事業主向け"
5,https://ai-products.net/product/schatti/,", 過去の問い合わせ内容を学習。
AIが回答候補を評価が高い順に提示するので、迅速に回答が出来ます。","チャットボットとして利用可能。
現場で質問・回答を学習または手動でデータセットすることで自動化することが可能です。","導入時・運用時の大幅なコスト削減。
人的コストは97%、データ反映コストは500〜1,000万円の大幅削減が見込めます。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, データ分析, 業務改善（効率化）, コスト削減, 接客, サイト運営, オンライン接客, 顧客満足度向上, 生産性向上","大企業向け, 中小企業向け"
6,https://ai-products.net/product/benefitter/,", 最適なものが選べる・つながる！
ボットの目的に応じて、Webブラウザ、Teams、Slack、Tocaro、+メッセージ、LINEを選択することができ、また複数のAIやRPA、業務システム、WEBサービスなどと接続することが可能です。","スモールスタートから拡大できる！
業務を追加するときに、もう別々の製品を検討する必要はありません。""Benefitter""ひとつで、さまざまなAIチャットボットを作り、稼働させることができます。","CTCのトータルサポート！
“Benefitter”は、CTCが独自に開発したAIチャットボット開発プラットフォームです。自社製品ならではのスピーディな対応とサポートをお客様にご提供します。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, 問い合わせ対応, 業務改善（効率化）, 接客, マーケティング, 営業支援, サイト運営, ユーザーエクスペリエンス向上, コールセンター",大企業向け
7,https://ai-products.net/product/digital-human/,", AIデジタルヒューマン（デジタル従業員）が24時間365日お客様の問い合わせに自動対応。営業時間内外問わず、スタッフに代わりお客様のお問い合わせに対応します。スタッフの手を借りることなく取引完了ができる様になり、人間スタッフは、より優先度の高いタスクに集中する事ができます。オンラインサービス、店舗等の対人サービス、eラーニング等でも利用可能です。",チャットボットやNLP（自然言語処理）と連携が可能。既に運用されているサービスにアドオンするだけで、テキストベースのサービスが、即座にデジタルヒューマンUIを備えたサービスにアップグレードできます。もちろん、蓄積されたビッグデーターやFAQやナレッジ等の既存資産はそのまま利用できます。チャットボット利用企業様、開発ベンダー様のどちらからご依頼頂いても連携対応します。,外見と声をコピーしたクローンキャラクターで、著名人やインフルエンサーをデジタル従業員として採用する事も可能です。オリジナルキャラクターも利用する事ができ、企業やサービスのブランドアンバサダーとして他にはない価値を提供することが可能です。,"人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, 離脱防止, CVR改善, レコメンド, 問い合わせ対応, パーソナライズ, 受付, 販売, 業務改善（効率化）, プロモーション, ブランディング, コスト削減, 接客, マーケティング, 営業支援, 売上アップ, 満足度向上, ユーザーエクスペリエンス向上, 販売促進, 付加価値, コミュニケーション, コールセンター, 離職低減, 育成支援, 顔認証, 感情認識・感情解析","大企業向け, 中小企業向け"
8,https://ai-products.net/product/hachidori/,", 7,000件を超える開発実績に基づいたシナリオ構築ノウハウ",経験豊富な専任チーム（カスタマーサクセス）の伴走サポート,高性能なAI会話エンジンで回答精度の継続的な向上,"人材, 不動産, IT, 教育, 小売, 保険, Webサービス, 通信, メディア, 官公庁","業務改善（効率化）, WEB、LINEマーケティング","大企業向け, 中小企業向け"
9,https://ai-products.net/product/kantan-chat/,", 導入コスト10万円、簡単なQAの準備だけですぐ開始できて最短3ヶ月の利用だけでもOK。業務ボリュームに合わせて利用できる。",当社直営のフィリピンセンターで英語ネイティブスタッフが格安で対応。,AI搭載チャットが自己学習し4か月目以降は完全自動対応も可能、さらに運用コストを抑えられる。,"人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁",接客,"大企業向け, 中小企業向け"
